Timestamp (ms),Oxygen %
2522102, 20.80
2523252, 20.80
2524402, 20.80
2525552, 20.80
2526702, 20.80
2527852, 20.80
2529002, 20.80
2530152, 20.80
2531302, 20.80
2532452, 20.80
2533602, 20.80
2534752, 20.80
2535902, 20.80
2537052, 20.81
2538202, 20.81
2539352, 20.81
2540502, 20.81
2541652, 20.81
2542802, 20.80
2543952, 20.80
2545102, 20.80
2546252, 20.80
2547402, 20.80
2548552, 20.80
2549702, 20.80
2550852, 20.80
2552002, 20.80
2553152, 20.80
2554302, 20.80
2555452, 20.80
2556602, 20.80
2557752, 20.80
2558902, 20.80
2560052, 20.80
2561202, 20.80
2562352, 20.80
2563502, 20.80
2564652, 20.80
2565802, 20.80
2566952, 20.80
2568102, 20.80
2569252, 20.80
2570402, 20.80
2571552, 20.80
2572702, 20.81
2573852, 20.80
2575002, 20.80
2576152, 20.80
2577302, 20.80
2578452, 20.80
2579602, 20.80
2580752, 20.80
2581902, 20.80
2583052, 20.80
2584202, 20.80
2585352, 20.80
2586502, 20.80
2587652, 20.80
2588802, 20.80
2589952, 20.80
2591102, 20.80
2592252, 20.80
2593402, 20.80
2594552, 20.80
2595702, 20.80
2596852, 20.80
2598002, 20.80
2599152, 20.80
2600302, 20.80
2601452, 20.80
2602602, 20.80
2603752, 20.80
2604902, 20.80
2606052, 20.80
2607202, 20.80
2608352, 20.80
2609502, 20.80
2610652, 20.80
2611802, 20.80
2612952, 20.80
2614102, 20.80
2615252, 20.80
2616402, 20.80
2617552, 20.80
2618702, 20.80
2619852, 20.80
2621002, 20.80
2622152, 20.80
2623302, 20.80
2624452, 20.80
2625602, 20.80
2626752, 20.80
2627902, 20.80
2629052, 20.80
2630202, 20.80
2631352, 20.80
2632502, 20.80
2633652, 20.80
2634802, 20.80
2635952, 20.80
2637102, 20.80
2638252, 20.80
2639402, 20.80
2640552, 20.80
2641702, 20.80
2642852, 20.80
2644002, 20.80
2645152, 20.80
2646302, 20.80
2647452, 20.80
2648602, 20.80
2649752, 20.80
2650902, 20.80
2652052, 20.80
2653202, 20.80
2654352, 20.80
2655502, 20.80
2656652, 20.80
2657802, 20.80
2658952, 20.80
2660102, 20.80
2661252, 20.80
2662402, 20.80
2663552, 20.80
2664702, 20.80
2665852, 20.80
2667002, 20.80
2668152, 20.81
2669302, 20.80
2670452, 20.80
2671602, 20.80
2672752, 20.80
2673902, 20.80
2675052, 20.80
2676202, 20.80
2677352, 20.80
2678502, 20.80
2679652, 20.80
2680802, 20.80
2681952, 20.80
2683102, 20.81
2684252, 20.81
2685402, 20.81
2686552, 20.81
2687702, 20.81
2688852, 20.81
2690002, 20.81
2691152, 20.80
2692302, 20.80
2693452, 20.80
2694602, 20.80
2695752, 20.80
2696902, 20.80
2698052, 20.80
2699202, 20.80
2700352, 20.80
2701502, 20.80
2702652, 20.80
2703802, 20.80
2704952, 20.80
2706102, 20.80
2707252, 20.80
2708402, 20.80
2709552, 20.80
2710702, 20.80
2711852, 20.80
2713002, 20.80
